virus,reference,hi
EPI1161425,EPI1161425,0.0
EPI1161425,EPI617718,0.0
EPI617718,EPI1161425,0.0
EPI617718,EPI617718,0.0
EPI1161425,EPI2079749,3.4816022019411896
EPI617718,EPI2079749,3.4816022019411896
EPI1161425,EPI326206,1.6363636363636367
EPI617718,EPI326206,1.6363636363636367
EPI1161425,EPI319590,1.0382681564245768
EPI617718,EPI319590,1.0382681564245768
EPI1161425,EPI309633,1.1136762360446593
EPI617718,EPI309633,1.1136762360446593
EPI1161425,EPI316435,1.612075554099789
EPI617718,EPI316435,1.612075554099789
EPI1161425,EPI390473,0.49949589998655597
EPI1161425,EPI1853200,0.49949589998655597
EPI617718,EPI390473,0.49949589998655597
EPI617718,EPI1853200,0.49949589998655597
EPI1161425,EPI466628,0.825541338582676
EPI1161425,EPI498431,0.825541338582676
EPI1161425,EPI466626,0.825541338582676
EPI617718,EPI466628,0.825541338582676
EPI617718,EPI498431,0.825541338582676
EPI617718,EPI466626,0.825541338582676
EPI1161425,EPI687827,0.0
EPI617718,EPI687827,0.0
EPI1161425,EPI685579,0.2335907335907308
EPI1161425,EPI643276,0.2335907335907308
EPI1161425,EPI859651,0.2335907335907308
EPI1161425,EPI1381204,0.2335907335907308
EPI1161425,EPI668427,0.2335907335907308
EPI617718,EPI685579,0.2335907335907308
EPI617718,EPI643276,0.2335907335907308
EPI617718,EPI859651,0.2335907335907308
EPI617718,EPI1381204,0.2335907335907308
EPI617718,EPI668427,0.2335907335907308
EPI1161425,EPI642552,0.43616438356164444
EPI617718,EPI642552,0.43616438356164444
EPI1161425,EPI724872,0.0
EPI617718,EPI724872,0.0
EPI1161425,EPI706976,0.0
EPI617718,EPI706976,0.0
EPI1161425,EPI457503,1.0
EPI1161425,EPI457507,1.0
EPI1161425,EPI468082,1.0
EPI617718,EPI457503,1.0
EPI617718,EPI457507,1.0
EPI617718,EPI468082,1.0
EPI1161425,EPI316468,1.0
EPI1161425,EPI320173,1.0
EPI617718,EPI316468,1.0
EPI617718,EPI320173,1.0
EPI2079749,EPI1161425,0.0
EPI2079749,EPI617718,0.0
EPI2079749,EPI2079749,0.0
EPI2079749,EPI326206,0.0
EPI2079749,EPI319590,0.0
EPI2079749,EPI309633,0.0
EPI2079749,EPI316435,0.0
EPI2079749,EPI390473,0.0
EPI2079749,EPI1853200,0.0
EPI2079749,EPI466628,0.0
EPI2079749,EPI498431,0.0
EPI2079749,EPI466626,0.0
EPI2079749,EPI687827,0.0
EPI2079749,EPI642552,0.0
EPI2079749,EPI724872,0.0
EPI2079749,EPI706976,0.0
EPI2079749,EPI457503,1.0
EPI2079749,EPI457507,1.0
EPI2079749,EPI468082,1.0
EPI2079749,EPI316468,0.0
EPI2079749,EPI320173,0.0
EPI326206,EPI1161425,0.908393113342898
EPI326206,EPI617718,0.908393113342898
EPI326206,EPI2079749,3.4905982905982924
EPI326206,EPI326206,0.0
EPI326206,EPI319590,0.34139315642457824
EPI326206,EPI309633,0.22122937941869658
EPI326206,EPI316435,0.8139534883720927
EPI326206,EPI390473,0.0
EPI326206,EPI1853200,0.0
EPI326206,EPI466628,0.5080010160020318
EPI326206,EPI498431,0.5080010160020318
EPI326206,EPI466626,0.5080010160020318
EPI326206,EPI457503,1.0
EPI326206,EPI457507,1.0
EPI326206,EPI468082,1.0
EPI326206,EPI316468,1.0
EPI326206,EPI320173,1.0
EPI319590,EPI1161425,0.16867919498867323
EPI319590,EPI617718,0.16867919498867323
EPI319590,EPI2079749,2.653133903133904
EPI319590,EPI326206,0.0
EPI319590,EPI319590,0.0
EPI319590,EPI309633,0.16171215074724188
EPI319590,EPI316435,0.13289833249679184
EPI319590,EPI390473,0.0
EPI319590,EPI1853200,0.0
EPI319590,EPI466628,0.007874015748031482
EPI319590,EPI498431,0.007874015748031482
EPI319590,EPI466626,0.007874015748031482
EPI319590,EPI687827,0.1193498452012367
EPI319590,EPI685579,0.2974559686888423
EPI319590,EPI643276,0.2974559686888423
EPI319590,EPI859651,0.2974559686888423
EPI319590,EPI1381204,0.2974559686888423
EPI319590,EPI668427,0.2974559686888423
EPI319590,EPI642552,0.6438356164383539
EPI319590,EPI724872,1.0
EPI319590,EPI706976,0.0
EPI319590,EPI457503,1.0
EPI319590,EPI457507,1.0
EPI319590,EPI468082,1.0
EPI319590,EPI316468,1.0
EPI319590,EPI320173,1.0
EPI309633,EPI1161425,0.1375609756097564
EPI309633,EPI617718,0.1375609756097564
EPI309633,EPI2079749,2.79232513518228
EPI309633,EPI326206,0.0
EPI309633,EPI319590,0.0
EPI309633,EPI309633,0.0
EPI309633,EPI316435,0.0
EPI309633,EPI390473,0.0
EPI309633,EPI1853200,0.0
EPI309633,EPI466628,0.0
EPI309633,EPI498431,0.0
EPI309633,EPI466626,0.0
EPI309633,EPI687827,0.0
EPI309633,EPI685579,0.0
EPI309633,EPI643276,0.0
EPI309633,EPI859651,0.0
EPI309633,EPI1381204,0.0
EPI309633,EPI668427,0.0
EPI309633,EPI642552,0.4065458424879669
EPI309633,EPI724872,0.0
EPI309633,EPI706976,0.0
EPI309633,EPI457503,1.0
EPI309633,EPI457507,1.0
EPI309633,EPI468082,1.0
EPI316435,EPI1161425,0.04658350400297806
EPI316435,EPI617718,0.04658350400297806
EPI316435,EPI2079749,2.5739577882435043
EPI316435,EPI326206,0.0
EPI316435,EPI319590,0.0
EPI316435,EPI309633,0.0
EPI316435,EPI316435,0.0
EPI316435,EPI390473,0.0
EPI316435,EPI1853200,0.0
EPI316435,EPI466628,0.0
EPI316435,EPI498431,0.0
EPI316435,EPI466626,0.0
EPI316435,EPI687827,0.0
EPI316435,EPI642552,0.5561643835616419
EPI316435,EPI724872,0.0
EPI316435,EPI706976,0.0
EPI316435,EPI685579,0.07142857142856762
EPI316435,EPI643276,0.07142857142856762
EPI316435,EPI859651,0.07142857142856762
EPI316435,EPI1381204,0.07142857142856762
EPI316435,EPI668427,0.07142857142856762
EPI316435,EPI457503,1.0
EPI316435,EPI457507,1.0
EPI316435,EPI468082,1.0
EPI316435,EPI316468,1.0
EPI316435,EPI320173,1.0
EPI390473,EPI1161425,1.5571230598669636
EPI390473,EPI617718,1.5571230598669636
EPI1853200,EPI1161425,0.9831832039911319
EPI1853200,EPI617718,0.9831832039911319
EPI390473,EPI2079749,4.044746103569636
EPI1853200,EPI2079749,3.6329813976872827
EPI390473,EPI326206,0.2678479712378028
EPI1853200,EPI326206,1.0025680534155117
EPI390473,EPI319590,1.2061872315690891
EPI1853200,EPI319590,1.0236138469984173
EPI390473,EPI309633,1.2761470985155228
EPI1853200,EPI309633,1.3289051956815134
EPI390473,EPI316435,1.2154686398872414
EPI1853200,EPI316435,1.6275105708245228
EPI390473,EPI390473,0.0
EPI390473,EPI1853200,0.0
EPI1853200,EPI390473,0.0
EPI1853200,EPI1853200,0.0
EPI390473,EPI466628,1.1653543307086611
EPI390473,EPI498431,1.1653543307086611
EPI390473,EPI466626,1.1653543307086611
EPI1853200,EPI466628,1.1653543307086611
EPI1853200,EPI498431,1.1653543307086611
EPI1853200,EPI466626,1.1653543307086611
EPI390473,EPI687827,1.3614551083591326
EPI1853200,EPI687827,1.3614551083591326
EPI390473,EPI685579,1.6262230919765148
EPI390473,EPI643276,1.6262230919765148
EPI390473,EPI859651,1.6262230919765148
EPI390473,EPI1381204,1.6262230919765148
EPI390473,EPI668427,1.6262230919765148
EPI1853200,EPI685579,1.6262230919765148
EPI1853200,EPI643276,1.6262230919765148
EPI1853200,EPI859651,1.6262230919765148
EPI1853200,EPI1381204,1.6262230919765148
EPI1853200,EPI668427,1.6262230919765148
EPI390473,EPI642552,2.1369863013698627
EPI1853200,EPI642552,2.1369863013698627
EPI390473,EPI724872,2.0
EPI1853200,EPI724872,2.0
EPI390473,EPI706976,1.0
EPI1853200,EPI706976,1.0
EPI390473,EPI457503,2.0
EPI390473,EPI457507,2.0
EPI390473,EPI468082,2.0
EPI1853200,EPI457503,2.0
EPI1853200,EPI457507,2.0
EPI1853200,EPI468082,2.0
EPI409898,EPI1161425,0.0
EPI409898,EPI617718,0.0
